0.01	0.0061165	0.00061178
4	0.0081355	16.813
5	0.0087258	21.020
6	0.0093536	25.224
8	0.010730	33.627
10	0.012282	42.021
11	0.013130	46.216
12	0.014028	50.409
13	0.014981	54.601
14	0.015990	58.792
15	0.017058	62.981
16	0.018188	67.170
17	0.019384	71.357
18	0.020647	75.544
19	0.021983	79.729
20	0.023393	83.914
21	0.024882	88.098
22	0.026453	92.282
23	0.028111	96.465
24	0.029858	100.65
25	0.031699	104.83
26	0.033639	109.01
27	0.035681	113.19
28	0.037831	117.37
29	0.040092	121.55
30	0.042470	125.73
31	0.044969	129.91
32	0.047596	134.09
33	0.050354	138.27
34	0.053251	142.45
35	0.056290	146.63
36	0.059479	150.81
37	0.062823	154.99
38	0.066328	159.17
39	0.070002	163.35
40	0.073849	167.53
41	0.077878	171.71
42	0.082096	175.89
43	0.086508	180.07
44	0.091124	184.25
45	0.09595	188.43
50	0.12352	209.34
55	0.15762	230.26
60	0.19946	251.18
65	0.25042	272.12
70	0.31201	293.07
75	0.38595	314.03
80	0.47414	335.01
85	0.57867	356.01
90	0.70182	377.04
95	0.84608	398.09
100	1.0142	419.17
110	1.4338	461.42
120	1.9867	503.81
130	2.7028	546.38
140	3.6154	589.16
150	4.7616	632.18
160	6.1823	675.47
170	7.9219	719.08
180	10.028	763.05
190	12.552	807.43
200	15.549	852.27
210	19.077	897.63
220	23.196	943.58
230	27.971	990.19
240	33.469	1037.6
250	39.762	1085.8
260	46.923	1135.0
270	55.030	1185.3
280	64.166	1236.9
290	74.418	1290.0
300	85.879	1345.0
320	112.84	1462.2
340	146.01	1594.5
360	186.66	1761.7
373.14	218.51	1975.9
		
		
